12200	0.7197	0.4422	0.2775	-3.8322	-1.2067	19.063	28.3270	5.447
12300	0.7399	0.4553	0.2846	-3.9455	-1.2373	19.378	29.3440	5.6001
12400	0.7602	0.4684	0.2918	-4.0865	-1.2685	19.735	30.3550	5.7575
12500	0.7808	0.4818	0.2990	-4.2274	-1.3000	20.111	31.3330	5.9133
12600	0.8021	0.4957	0.3064	-4.3495	-1.3320	20.535	32.3050	6.0737
12700	0.8242	0.5103	0.3139	-4.4461	-1.3647	21.062	33.2340	6.2412
12800	0.8473	0.5256	0.3217	-4.4939	-1.3986	21.661	34.1610	6.4167
12900	0.8696	0.5400	0.3296	-4.6315	-1.4330	22.329	35.0800	6.5991
13000	0.8920	0.5543	0.3377	-4.7827	-1.4682	22.927	35.9700	6.7703
13100	0.9137	0.5678	0.3459	-4.9964	-1.5039	23.527	36.8340	6.9386
13200	0.9353	0.5811	0.3542	-5.2044	-1.5400	24.076	37.6690	7.0979
13300	0.9567	0.5942	0.3625	-5.4177	-1.5761	24.633	38.4970	7.2571
13400	0.9785	0.6076	0.3709	-5.5883	-1.6127	25.153	39.3290	7.4125
13500	0.9998	0.6204	0.3794	-5.7710	-1.6494	25.722	40.1520	7.5726
13600	1.0213	0.6334	0.3879	-5.9223	-1.6865	26.236	40.9630	7.725
13700	1.0427	0.6462	0.3965	-6.0675	-1.7240	26.773	41.7590	7.8784
13800	1.0647	0.6595	0.4052	-6.1513	-1.7618	27.296	42.5610	8.0308
13900	1.0865	0.6726	0.4139	-6.2498	-1.7997	27.868	43.3610	8.1885
14000	1.1078	0.6851	0.4227	-6.3716	-1.8379	28.431	44.1320	8.3419
14100	1.1290	0.6974	0.4316	-6.5013	-1.8765	28.956	44.8640	8.4864
14200	1.1501	0.7096	0.4405	-6.6412	-1.9152	29.469	45.5840	8.6283
14300	1.1712	0.7217	0.4495	-6.7813	-1.9543	29.988	46.2940	8.7696
14400	1.1925	0.7340	0.4585	-6.9179	-1.9937	30.485	47.0170	8.9098
14500	1.2136	0.7460	0.4676	-7.0824	-2.0333	30.976	47.7530	9.051
14600	1.2344	0.7576	0.4768	-7.2646	-2.0731	31.424	48.4970	9.1881
14700	1.2559	0.7699	0.4860	-7.4113	-2.1132	31.857	49.2310	9.3223
14800	1.2771	0.7818	0.4953	-7.5724	-2.1536	32.311	49.9990	9.4628
14900	1.2985	0.7939	0.5046	-7.7132	-2.1941	32.711	50.7890	9.5996
15000	1.3189	0.8049	0.5140	-7.9290	-2.2346	33.115	51.5840	9.7375
15100	1.3391	0.8158	0.5233	-8.1445	-2.2751	33.473	52.3240	9.8639
15200	1.3594	0.8268	0.5326	-8.3371	-2.3157	33.793	53.0810	9.9877
15300	1.3793	0.8374	0.5419	-8.5431	-2.3563	34.109	53.8330	10.111
15400	1.3987	0.8475	0.5512	-8.7674	-2.3966	34.394	54.5690	10.228
15500	1.4184	0.8579	0.5605	-8.9544	-2.4368	34.677	55.2780	10.342
15600	1.4379	0.8683	0.5696	-9.1503	-2.4767	34.947	56.0250	10.459
15700	1.4571	0.8784	0.5787	-9.3439	-2.5160	35.207	56.7780	10.575
15800	1.4756	0.8881	0.5875	-9.5786	-2.5543	35.458	57.5250	10.69
15900	1.4942	0.8981	0.5961	-9.7911	-2.5915	35.681	58.2430	10.798
16000	1.5113	0.9069	0.6044	-10.0660	-2.6278	35.903	58.9870	10.91
16100	1.5276	0.9151	0.6125	-10.3540	-2.6629	36.073	59.6560	11.006
16200	1.5435	0.9232	0.6203	-10.6100	-2.6971	36.235	60.2800	11.096
16300	1.5588	0.9308	0.6280	-10.8440	-2.7304	36.401	60.8830	11.185
16400	1.5735	0.9381	0.6354	-11.0720	-2.7625	36.529	61.4930	11.27
16500	1.5878	0.9453	0.6425	-11.2800	-2.7935	36.668	62.0550	11.35
16600	1.6011	0.9518	0.6493	-11.4910	-2.8232	36.805	62.5790	11.426
16700	1.6140	0.9582	0.6558	-11.6800	-2.8515	36.917	63.1000	11.499
16800	1.6267	0.9646	0.6621	-11.8300	-2.8787	37.039	63.5840	11.569
16900	1.6393	0.9712	0.6681	-11.9330	-2.9046	37.152	64.0880	11.64
17000	1.6506	0.9769	0.6737	-12.1040	-2.9290	37.284	64.5890	11.712
17100	1.6611	0.9822	0.6789	-12.2850	-2.9517	37.374	65.0270	11.773
17200	1.6713	0.9876	0.6837	-12.4530	-2.9728	37.459	65.4240	11.829
17300	1.6806	0.9925	0.6881	-12.6460	-2.9919	37.550	65.8240	11.885
17400	1.6895	0.9974	0.6921	-12.8210	-3.0093	37.627	66.2060	11.938
17500	1.6976	1.0019	0.6957	-13.0180	-3.0248	37.729	66.5500	11.989
17600	1.7047	1.0059	0.6988	-13.2360	-3.0382	37.824	66.8500	12.035
17700	1.7115	1.0100	0.7015	-13.4270	-3.0500	37.917	67.1180	12.076
17800	1.7174	1.0136	0.7038	-13.6360	-3.0601	38.010	67.3850	12.118
17900	1.7231	1.0174	0.7057	-13.7920	-3.0684	38.096	67.6160	12.154
18000	1.7273	1.0200	0.7073	-14.0020	-3.0753	38.182	67.8560	12.192
18100	1.7308	1.0222	0.7086	-14.2230	-3.0808	38.241	68.0110	12.216
18200	1.7336	1.0241	0.7095	-14.4300	-3.0848	38.277	68.1530	12.237
18300	1.7359	1.0257	0.7102	-14.6250	-3.0877	38.312	68.2780	12.255
18400	1.7375	1.0269	0.7106	-14.8190	-3.0894	38.333	68.3930	12.271
18500	1.7387	1.0280	0.7107	-14.9850	-3.0900	38.352	68.4770	12.283
18600	1.7398	1.0292	0.7106	-15.1230	-3.0896	38.366	68.5750	12.295
18700	1.7403	1.0300	0.7103	-15.2450	-3.0883	38.393	68.6520	12.307
18800	1.7409	1.0311	0.7098	-15.3160	-3.0862	38.426	68.7050	12.317
18900	1.7411	1.0320	0.7091	-15.3840	-3.0830	38.469	68.7670	12.329
19000	1.7400	1.0319	0.7081	-15.5000	-3.0786	38.514	68.8130	12.34
19100	1.7384	1.0316	0.7068	-15.6220	-3.0731	38.519	68.8090	12.34
19200	1.7362	1.0310	0.7052	-15.7470	-3.0661	38.498	68.8220	12.339
19300	1.7342	1.0308	0.7034	-15.8330	-3.0581	38.479	68.8050	12.335
19400	1.7319	1.0305	0.7014	-15.8940	-3.0497	38.490	68.8080	12.336
19500	1.7295	1.0301	0.6994	-15.9290	-3.0408	38.499	68.8080	12.337
19600	1.7270	1.0298	0.6972	-15.9360	-3.0315	38.495	68.8280	12.339
19700	1.7242	1.0292	0.6950	-15.9290	-3.0219	38.490	68.8410	12.34
19800	1.7212	1.0284	0.6928	-15.9140	-3.0123	38.509	68.8300	12.341
19900	1.7185	1.0278	0.6907	-15.8220	-3.0031	38.515	68.8110	12.34
20000	1.7152	1.0265	0.6887	-15.7590	-2.9945	38.520	68.7990	12.339
20100	1.7120	1.0251	0.6869	-15.6910	-2.9864	38.523	68.7310	12.331
20200	1.7089	1.0237	0.6852	-15.6180	-2.9790	38.509	68.6620	12.322
20300	1.7062	1.0226	0.6836	-15.5170	-2.9722	38.495	68.5910	12.312
20400	1.7037	1.0216	0.6821	-15.4240	-2.9659	38.493	68.5250	12.304
20500	1.7014	1.0206	0.6808	-15.3390	-2.9599	38.486	68.4870	12.299
20600	1.6991	1.0197	0.6794	-15.2550	-2.9539	38.476	68.4470	12.293
20700	1.6968	1.0187	0.6781	-15.2000	-2.9481	38.468	68.4150	12.289
20800	1.6947	1.0181	0.6766	-15.1430	-2.9419	38.455	68.3650	12.282
20900	1.6931	1.0180	0.6751	-15.0410	-2.9354	38.469	68.3360	12.28
21000	1.6904	1.0170	0.6734	-15.0390	-2.9279	38.496	68.3330	12.282
21100	1.6874	1.0159	0.6715	-15.0380	-2.9195	38.481	68.2720	12.274
21200	1.6844	1.0150	0.6694	-15.0330	-2.9104	38.471	68.2210	12.267
21300	1.6807	1.0137	0.6670	-15.0640	-2.9002	38.474	68.1580	12.26
21400	1.6769	1.0124	0.6645	-15.0770	-2.8892	38.446	68.0870	12.248
21500	1.6732	1.0113	0.6619	-15.0630	-2.8779	38.434	68.0000	12.237
21600	1.6689	1.0097	0.6592	-15.0630	-2.8661	38.429	67.9430	12.23
21700	1.6645	1.0081	0.6564	-15.0560	-2.8540	38.411	67.8570	12.218
21800	1.6602	1.0065	0.6537	-15.0090	-2.8422	38.386	67.7700	12.205
21900	1.6567	1.0056	0.6511	-14.8960	-2.8308	38.398	67.6690	12.195
22000	1.6522	1.0037	0.6485	-14.8500	-2.8195	38.419	67.6010	12.19
22100	1.6481	1.0021	0.6460	-14.7840	-2.8087	38.397	67.4810	12.173
22200	1.6443	1.0007	0.6436	-14.6980	-2.7984	38.400	67.3650	12.16
22300	1.6405	0.9992	0.6413	-14.6420	-2.7884	38.404	67.2640	12.149
22400	1.6363	0.9973	0.6390	-14.6240	-2.7784	38.366	67.1820	12.135
22500	1.6326	0.9958	0.6368	-14.5990	-2.7685	38.334	67.0710	12.119
22600	1.6296	0.9950	0.6346	-14.5370	-2.7591	38.327	66.9750	12.107
22700	1.6266	0.9941	0.6325	-14.4960	-2.7499	38.330	66.9310	12.102
22800	1.6235	0.9931	0.6304	-14.4740	-2.7408	38.338	66.8790	12.097
22900	1.6206	0.9923	0.6283	-14.4440	-2.7317	38.318	66.8400	12.09
23000	1.6170	0.9909	0.6261	-14.4630	-2.7223	38.319	66.7920	12.085
23100	1.6133	0.9894	0.6239	-14.4750	-2.7126	38.334	66.6770	12.073
23200	1.6091	0.9875	0.6216	-14.5000	-2.7026	38.345	66.5500	12.06
23300	1.6048	0.9856	0.6192	-14.5030	-2.6923	38.318	66.4430	12.045
23400	1.6005	0.9837	0.6168	-14.4740	-2.6818	38.296	66.3120	12.027
23500	1.5961	0.9817	0.6144	-14.4380	-2.6715	38.285	66.1790	12.01
23600	1.5916	0.9794	0.6122	-14.3650	-2.6616	38.265	66.0450	11.993
23700	1.5865	0.9766	0.6099	-14.3300	-2.6519	38.255	65.8860	11.973
23800	1.5821	0.9743	0.6078	-14.2170	-2.6427	38.207	65.7130	11.948
23900	1.5783	0.9724	0.6059	-14.0580	-2.6343	38.199	65.5540	11.929
24000	1.5744	0.9703	0.6041	-13.9200	-2.6264	38.192	65.4290	11.914
24100	1.5708	0.9684	0.6024	-13.7740	-2.6192	38.160	65.2990	11.895
24200	1.5672	0.9664	0.6008	-13.6670	-2.6122	38.142	65.1730	11.878
24300	1.5643	0.9649	0.5994	-13.5270	-2.6059	38.124	65.0450	11.862
24400	1.5611	0.9631	0.5980	-13.4420	-2.5999	38.118	64.9470	11.85
24500	1.5583	0.9617	0.5966	-13.3560	-2.5941	38.081	64.8210	11.831
24600	1.5554	0.9600	0.5954	-13.2920	-2.5888	38.056	64.7260	11.817
24700	1.5525	0.9582	0.5943	-13.2450	-2.5839	38.049	64.5950	11.801
24800	1.5495	0.9563	0.5932	-13.2370	-2.5791	38.048	64.4350	11.783
24900	1.5471	0.9549	0.5922	-13.1940	-2.5748	38.035	64.2700	11.762
25000	1.5446	0.9532	0.5914	-13.1560	-2.5711	38.044	64.1410	11.748
25100	1.5419	0.9513	0.5906	-13.1560	-2.5679	38.039	63.9920	11.731
25200	1.5393	0.9493	0.5900	-13.1530	-2.5654	38.010	63.8320	11.709
25300	1.5370	0.9474	0.5896	-13.1370	-2.5637	37.994	63.6670	11.688
25400	1.5346	0.9452	0.5894	-13.1250	-2.5628	37.985	63.4960	11.667
25500	1.5322	0.9428	0.5894	-13.1260	-2.5625	37.960	63.3200	11.644
25600	1.5301	0.9406	0.5895	-13.1190	-2.5631	37.927	63.1300	11.619
25700	1.5282	0.9384	0.5898	-13.1140	-2.5643	37.922	62.9220	11.594
25800	1.5263	0.9361	0.5902	-13.1090	-2.5662	37.891	62.7450	11.57
25900	1.5247	0.9339	0.5908	-13.0870	-2.5689	37.847	62.5770	11.546
26000	1.5235	0.9319	0.5916	-13.0430	-2.5724	37.825	62.3970	11.523
26100	1.5221	0.9296	0.5925	-13.0300	-2.5762	37.797	62.2380	11.501
26200	1.5209	0.9274	0.5935	-13.0010	-2.5805	37.751	62.0710	11.477
